客户触发,我方回复
你先预估PPT翻译的价格 和时间 你先预估下,我现在外面，晚点回家等你视频一起吧
引用：对了 年前还有另外一个单子怎么说？；等我通知 原始编辑的,引用：775L制作文件给我下百度链接今天谢谢；回复：pdf还是原始编辑的制作文件？ 通过网盘分享的文件：VSG1013700-3M_ Cubitron_ 2薄膜砂碟 775L V20260128.zip 链接: https://pan.baidu.com/s/1qf807wGJzqaM65v_T8NwrQ?pwd=dtzf 提取码: dtzf
报价单今天给以及同步翻译,新年好 引用：报价单今天给以及同步翻译；回复：1分钟前发你了 对了 年前还有另外一个单子怎么说？
welder choice 一个手册一个视频没有工程文件 你去翻译下7K多那个报价以及文件,"引用：等你PPT翻译；回复：早上我追问了 翻译差不多今天 最迟明天 排版好 这是一条引用/回复消息： ""V.K： 你去翻译下7K多那个报价以及文件"" ------ 我最近好像没出过7000多报价单吧 [捂脸] 大概几月我发你了的 最近唯一一个没确认的就是 USAC_Winning Combinations 3_Brochure汉化 5038元 里面没视频哈 最近你就找我做过2个视频 一个是775L 一个是节后安排的这个"
引用：260213-3M-ASD-WC3-WC4-USAC-Global-Master；无字幕版本。之前你报过价那个 没有的,引用：[3m-sanding-made-simple-video_final.docx]；回复：不是这个吧 这个是有工程文件的 报价过的？ 没啥印象了
这个排版也挺简单的呀 就4页要排版吧 你看看,要调整字体的哈 中英文 上次我其实就收的少 因为过年期间在家我报价给你了哈 后来同事说
看到报价 这几页PPT要700呀 你提供报价单吧 我Q2开给你,不是还要排版的吗 上次把排版算在里面的
引用：[视频]；这个是你们之前做的 但是这个视频没有声音 帮忙加一个,我外面客户那 晚点回去找下
2，11-17，19，29，37，40，41，45，47-51，54-56，59，61-64，66 我QQ发了你个PPT，以上是需要汉化的页数 引用：[文件]；再加这个单页 给下报价,422还有个pdf不管是吧
你刚去废死你就废死了。,各么我就翻最后一个好了，22年的。我更新报价给你，麻烦你回复一个给我哈
你把发票发给我。 老板助理 好的。,我要么翻前2个？反正单独报过价了？
明天10点多来不？ 必须呀,我资料准备差不多了，到时候一起带来 对了，你哪个部门呀
我会帮你删掉两年，两三年就两三年好吧。,好娘们，这个我好的。 那明天我给你加了一个点，我已经有经销商吗？所以说咋回保，我保了。狗屁。我搞个眼药，点眼药给自己的，可以口诀好了。 两两两交费的对吧？ 更新报价发你了
报价来哈,邮件刚刚进来，我看一下回你哈
注意邮件 又要报价了 我同事发你 印度人,欧凯的 我在做长协了，今天发你
不知道不知道是我是我同事给的。,恩恩，我来整理一下原稿否则会影响翻译。等你回复哈
你报价多少？ 周六日对吧,3K
对方回复你？ 哦哦哦,没有，他说他还在同时找旅行社 后来我就先把价格告诉他了，他就没有再回我了
就问你，我给力不 几乎我都给你弄了 哈哈哈 做起来吧 我回复了,慢点我们单约 回你报价了
好的，那你报价。,最后2页有几个内嵌的文件，需要吗
我们内部的问题，我收到了，就是那个。等会儿再说。,你顺便试下，这个网址你可以打开不 短网址:http://b.u6v.cn/5GM2M3
我来看下会议室情况 我来确认下,3/12需要几副听众设备 好的，份数确认告诉我一下，我做到报价里
然后那天12点前会一直都在开会 同传间 要提前搭好 然后我们也提前测试,3/11搭建 +测试
然后我有一个问题，就是我们的现场的摄像头能做到，比如说人物追踪或者说。其实就是人物追踪，比如说有一些特写啥的，这种能有吗？,可以做一些，比如发言者上台，推个近景，然后拉回正常，这种的
12号这个报价单你这边没啥要改的吧 基于我们今天的需求 好我记着 我发了 我重新发,应该没什么要加的，我回公司再确认一下 资料麻烦今天发我哈，下周你又要出差了[愉快] 3-7-25 JAPAC.ppt，文件坏了，打不开，文件有20M，会不会你发送的时候附件没上传完成
要到现场的，我说线上是他同传翻译给线上的同事。,亲，邮件发你了，帮忙先邮件回复一下，时间有点近，我争取今天要尽快落实译员 报价更新重新发你了哈
下周一 有个special员工大会 线上的翻译就可以 大概半小时 可以先给我个报价单,翻译要到现场吗
先给我2.24这个报价单吧 没问题,好的，我这2天在TOTO的同传会议上，晚点回公司发你哈
就这个给我报价吧,明天一早给你报价行吗。我现在地铁上
chip我们公司内一般说的是芯片，这个也修改一下,修改完成文件发邮件了哈，请查收下哦
麻烦你们先检查修改一下吧,好滴好滴，多谢提醒，这次我疏忽了，马上修改哦
没到500字都要用按500字算吗？,嗯嗯，单个语种是500起算滴
"?Hello, Alice，麻烦你帮忙安排一下这些翻译，我在每页上面都标注了需要翻译的语言",发邮件报价了哦，麻烦回复下哈
?Hello Alice，麻烦你帮忙安排一下这篇新闻通稿翻译成有意大利语，谢谢 看下能不能下周一左右安排好,早呀，Fansha~~ 文件收到，周一可以完成哈，稍等发出报价邮件，麻烦回复下就好哦
早上好， Alice，帮我安排一下这个通稿的越南语和印尼语的翻译，谢谢 已经回复了,报价邮件麻烦回复下哦 收到了哈，安排好了
请帮我们翻译快一点，看下明天可不可以完成,嗯嗯，文字不多，明天下午应该ok滴
好的 还有啥时候能给我们 我们下周要用的,哦哦，好的。 亲，费用我按8折算是6459.00元，下周三上午可以完成 你看看有问题和我说
对 格式保留 只是把印尼文字 换成 英文文字,明白的，可以的，没问题 我核算一下，报价给你
方便电话吗？,你好呀，Elaine 可以的 收到，我来看下哦 你前面说的要求啥在哪呀？ 你的意思是不是就是，像第2页那种表格，到时候也需要做成表格的样子？
引用：那上面说的回我邮件OK吗 我先去排单；哪个？,这本的印刷报价邮件哈
引用：wetransfer?；可以 引用：[图片]；好,那上面说的回我邮件OK吗 我先去排单 引用：那新版的open file给个链接吧；回复：https://we.tl/t-n5awncFb33
后面的都没什么意思,引用：最上面的说访问官网---然后您的首选中国旅行顾问---其他国家还是放着吧，毕竟是GLOBAL的样子；回复：那联系中国电话留着，万一岁数大客户喜欢打电话呢 二维码照放 这样不改变原来的结构
最上面的说访问官网---然后您的首选中国旅行顾问---其他国家还是放着吧，毕竟是GLOBAL的样子,引用：[图片]；回复：这个奢旅大使也不加粗了？
不好意思，现在变成地中海+加勒比放一起印1000份。应该是在现在地中海的基础上加6-8页，您先估一下价格，然后报FSC的号码和给FSC的源文件过来 我看了看她的意思应该就是我们提供这个FSC的设计，她放到手册背面去,意思两本合并成一本，页数之前是36页，现在可能最多46页。然后印1000份
那给我一个500份（地中海）+500份（北欧）的报价单，然后FSC的号码问过来，我问总部是不是她们做到最终的文件版本里去 不一样,一个500份（地中海）+500份（北欧） 文件内容一样吗？
所以我们这里印的话，号码都是C014719?,不一定 根据纸张什么的的 这是我们同事印的 这个纸张是UPM的 他们本来就是做纸的公司 ——C014719 今天核价同事告诉我 到时候好像有个新的号码的 证明是符合FSC的 引用：[图片]；回复：先给总部看看呗，是不是要这个的意思 还有这个文件谁的哈 印有原始文件的吧？
那总部是不是还在等你这个码？,不太清楚她的意思 应该是吧 要么你把这个发给总部看看？
先安排了 下午会回,FSC是这样的 可以做 价格如下 500份 常规 10500元 印FSC 14500元
还有上周总部要的印刷环保的LOGO的事情，看看报价的区别,"引用：还有上周总部要的印刷环保的LOGO的事情，看看报价的区别；回复：这个我刚会上提了 稍晚给到 - could you ask to the printer the Colour profile? 这个她要彩色文件？ 不是问我要的吧？ 是不是指文件哈 我看你打包就是个pdf文件 这是一条引用/回复消息： ""Renaiss： 给我报价单"" ------ 发了 不过前面我算错了 应该要多个几百元 2条完整的视频 包含横竖版 合计是 1920元 和你说下"
你先翻译起来吧，下午我邮件会确认回来 我要报价单,引用：[图片]；回复：这个也是一样 810元 包含一条横版一条竖版
这样2条视频，分别横版和坚版 要报价单 给我报价单,引用：[图片]；回复：810元 包含一条横版一条竖版
ExploraIII和SUMMER 2026的 你不知道的话就直接问，为什么一直绕其他的，我真的很忙,ExploraIII 这条560元
我先要个报价，2条完整版的 贵的话我就不找你做了，我就要个报价，为啥这样难 您就先报来,关键我不知道你说的哪2条完整的 这个报价最简单了 [捂脸]
其实是2条视频，所以先翻这两条的完整内容，然后其他的是简短版 可以就先翻2条完整版的，但横版和竖版都要,简短版 配字幕也是要单独做的哈 横竖不一样的做法和字体大小 clean国外给了吗 几乎都没 上周我看了就一个有 引用：[图片]；回复：要这样的
这个报价上午能出来吗,视频吗 视频里面有些1分多 少于2分钟的 要报吗 我们内部是先把一般英文抄写下来再翻译的，翻译的时候会去看视频 那就按照280/分钟 这是我可以做的 所以你看下哪些视频是要你要做的 上周我是统计所有的 无论时间长短
对的，还在加北欧航线，好了我会给你，然后帮我把里面的字也再看看,可以啊 下周有时间的[微笑] 那你报价单先去申请申请 等批复了 我才好去申请FSC
第二支不太对 这两个意思都不太对,引用：[图片]；回复：哎呀这个复制错了 应该是 追寻“海阔新启”之旅 或者 前面你说的 追寻“海阔新境”之旅
再看看EXPLORAIII是不是重复了,2个画面
总部不会同意的 我错了，有个新字 你问问翻译，之前我们用的是“海阔心境”，如果现在用“海阔新境”怎么样,海阔新境 语境符合的 就可能不大体现 新船下水 不过这里体现的 最新成员
